[0.22892996668815613, -3.8111655712127686, 7.785226821899414]
[-84.35504150390625, 1.0189908742904663, -2.3053510189056396]
[-84.33130645751953, 0.9527537226676941, -2.3065273761749268]
[-84.3082504272461, 0.8024030923843384, -2.3071727752685547]
[-84.28563690185547, 0.6274002194404602, -2.3080649375915527]
[-84.2790298461914, 0.4608432352542877, -2.3080251216888428]
[-84.2790298461914, 0.4608432352542877, -2.3080251216888428]
[-84.2779769897461, 0.4341622292995453, -2.30802059173584]
[-84.2779769897461, 0.4341622292995453, -2.30802059173584]
[-84.32561492919922, 0.43236851692199707, -2.3048596382141113]
[-84.4048080444336, 0.42937713861465454, -2.299614429473877]
[-84.53473663330078, 0.4242982566356659, -2.377755641937256]
[-84.70680236816406, 0.4169386327266693, -2.4942314624786377]
[-85.13593292236328, 0.39609506726264954, -2.7089099884033203]
[-85.13593292236328, 0.39609506726264954, -2.7089099884033203]
[-85.38680267333984, 0.38377413153648376, -2.70324969291687]
[-85.64675903320312, 0.3710135221481323, -2.682971715927124]
[-85.89054870605469, 0.3585170805454254, -2.6663429737091064]
[-86.12100982666016, 0.3454780876636505, -2.6525866985321045]
[-86.30337524414062, 0.3356221616268158, -2.641310691833496]
[-86.49551391601562, 0.3245485723018646, -2.6305694580078125]
[-86.61907196044922, 0.3182488977909088, -2.622133493423462]
[-86.6784439086914, 0.3152034282684326, -2.618036985397339]
[-86.6739273071289, 0.21491728723049164, -2.618029832839966]
[-86.66668701171875, 0.05429087579250336, -2.6180343627929688]
[-86.65946197509766, -0.10637570917606354, -2.6180598735809326]
[-86.60365295410156, -0.2845303416252136, -2.6228129863739014]
[-86.47696685791016, -0.446649432182312, -2.569890260696411]
[-86.31476593017578, -0.5327102541923523, -2.4228289127349854]
[-86.10076904296875, -0.6747863292694092, -2.237557888031006]
[-85.86592102050781, -0.8440532088279724, -2.0325653553009033]
[-85.64514923095703, -1.0099663734436035, -1.8799612522125244]
[-85.41779327392578, -1.1570674180984497, -1.8808900117874146]
[-85.27013397216797, -1.3014369010925293, -1.8965624570846558]
[-85.05506134033203, -1.4994596242904663, -1.9203771352767944]
[-84.8342056274414, -1.5872150659561157, -1.9272067546844482]
[-84.72476959228516, -1.5839236974716187, -1.8006901741027832]
[-84.70934295654297, -1.558262586593628, -1.6093083620071411]
[-84.69869232177734, -1.3989256620407104, -1.4252078533172607]
